drug_name,action_class
mirtazapine,human_cell
mitotane,human_cell
mitoxantrone,other
moclobemide,human_cell
modafinil,human_cell
mometasone,other
montelukast,other
morphine,other
moxifloxacin,other
mupirocin,bacteria
mycophenolate,human_cell
mycophenolic,other
tetrofosmin,other
nabumetone,human_cell
nadolol,human_cell
nalbuphine,other
nalidixic,bacteria
nalmefene,other
naloxone,other
naltrexone,human_cell
nandrolone,other
naphazoline,other
naratriptan,other
nateglinide,human_cell
nefazodone,other
nefopam,other
nelfinavir,other
neomycin,bacteria
neostigmine,other
nevirapine,human_cell
nicardipine,other
nifedipine,human_cell
nilutamide,human_cell
nimodipine,human_cell
nisoldipine,human_cell
nitrazepam,other
nitrofurantoin,bacteria
nitroglycerin,human_cell
nizatidine,human_cell
norethisterone,other
norfloxacin,bacteria
levonorgestrel,human_cell
nortriptyline,other
repaglinide,human_cell
nystatin,fungus
ofloxacin,bacteria
olanzapine,human_cell
omeprazole,human_cell
ondansetron,human_cell
orlistat,human_cell
orphenadrine,other
oseltamivir,other
oxacillin,other
oxaliplatin,human_cell
oxaprozin,human_cell
oxazepam,human_cell
oxiconazole,other
oxprenolol,other
oxybutynin,human_cell
oxycodone,human_cell
oxymetholone,human_cell
oxymorphone,other
apas,other
paclitaxel,human_cell
pamidronate,human_cell
pancuronium,other
dexpanthenol,other
pantoprazole,other
papaverine,other
paromomycin,other
paroxetine,other
isosulfan,other
penbutolol,other
penciclovir,virus
d-penicillamine,other
pentamidine,other
pentazocine,other
pentobarbital,human_cell
pentostatin,human_cell
pentoxifylline,human_cell
pergolide,other
perhexiline,other
propericiazine,other
perphenazine,human_cell
phenylazo,other
phenobarbital,other
phenoxybenzamine,other
phentermine,human_cell
4-pba,other
phenylephrine,other
phenylpropanolamine,other
moxonidine,human_cell
physostigmine,other
pilocarpine,human_cell
pindolol,human_cell
pioglitazone,other
piperacillin,other
pirbuterol,other
podophyllotoxin,other
polymyxin,other
polythiazide,human_cell
pramipexole,other
pravastatin,other
praziquantel,other
prazosin,other
prednisolone,human_cell
prednisone,human_cell
prilocaine,human_cell
primaquine,other
primidone,human_cell
probenecid,human_cell
procainamide,other
procaine,other
procarbazine,other
prochlorperazine,human_cell
progesterone,human_cell
proguanil,other
promethazine,other
propafenone,other
propantheline,other
proparacaine,other
propofol,human_cell
propranolol,other
protriptyline,other
pyrantel,other
pyridostigmine,other
mepyramine,other
pyrimethamine,other
quazepam,human_cell
quetiapine,other
quinapril,other
rabeprazole,other
ephedrine,other
raloxifene,human_cell
ramipril,human_cell
ranitidine,human_cell
rapamycin,human_cell
rescinnamine,human_cell
reserpine,human_cell
ribavirin,virus
riluzole,human_cell
rimantadine,other
risperidone,human_cell
ritonavir,human_cell
rivastigmine,human_cell
rizatriptan,other
rofecoxib,human_cell
ropinirole,other
roxithromycin,other
salmeterol,other
stavudine,human_cell
salsalate,other
scopolamine,other
secobarbital,other
deprenyl,other
sertraline,other
sevoflurane,human_cell
sibutramine,other
sildenafil,other
silver,other
sulfadiazine,bacteria
risedronate,human_cell
sotalol,other
sparfloxacin,bacteria
spironolactone,human_cell
imatinib,other
streptomycin,other
streptozotocin,human_cell
vorinostat,human_cell
succinylcholine,other
sulconazole,other
sulfacetamide,bacteria
sulfamethoxazole,bacteria
sulfonamide,other
sulindac,human_cell
sumatriptan,human_cell
suprofen,human_cell
tacrolimus,human_cell
tamoxifen,other
gatifloxacin,bacteria
tazarotene,human_cell
temazepam,human_cell
temozolomide,human_cell
teniposide,human_cell
terazosin,other
terbinafine,other
terbutaline,other
terconazole,fungus
testolactone,human_cell
testosterone,human_cell
tetracaine,human_cell
tetrahydrozoline,other
thalidomide,human_cell
thiabendazole,other
thioridazine,human_cell
thiotepa,human_cell
thiothixene,human_cell
tiagabine,other
tiaprofenic,other
tibolone,other
ticlopidine,other
timolol,human_cell
tinidazole,bacteria
tiopronin,other
tirofiban,other
tizanidine,other
tobramycin,other
tolazamide,human_cell
tolbutamide,human_cell
tolmetin,other
tolterodine,other
topiramate,human_cell
topotecan,other
toremifene,other
tramadol,other
tramazoline,other
trandolapril,human_cell
tranexamic,human_cell
tranylcypromine,other
trazodone,other
retinoic,other
triamcinolone,human_cell
triamterene,human_cell
triazolam,human_cell
triclosan,bacteria
trien,other
trifluoperazine,other
trihexyphenidyl,other
trimethadione,human_cell
trimethobenzamide,other
trimethoprim,bacteria
trimetrexate,other
trimipramine,other
troglitazone,human_cell
tropicamide,human_cell
tropisetron,human_cell
trospium,other
delavirdine,other
unoprostone,other
udca,other
vacv,other
valsartan,human_cell
vancocine,bacteria
venlafaxine,other
vigabatrin,human_cell
vinorelbine,other
zafirlukast,human_cell
zalcitabine,human_cell
zaleplon,human_cell
zanamivir,virus
zidovudine,other
zncl2,other
zolmitriptan,human_cell
zolpidem,other
zonisamide,human_cell
zopiclone,human_cell
mitomycin,human_cell
oxytocin,other
phentolamine,other
demethyl,other
oxandrolone,human_cell
biguanide,other
vincristine,other
tetrabenazine,human_cell
edta,other
cysteamine,other
17-hydroxyprogesterone,human_cell
trifluorothymidine,human_cell
optison,other
bromcresol,other
phencyclidine,other
methsuximide,human_cell
tris,other
cyclizine,other
phenylbutyric,other
diethylpropion,other
benzoyl,other
monobenzone,human_cell
benzonatate,human_cell
tetraen,other
argenine,other
chloroprocaine,other
nafcillin,other
methohexital,other
dimercaptosuccinic,other
aminophylline,human_cell
propoxyphene,other
hydroxybutyrate,other
echothiophate,human_cell
dimenhydrinate,human_cell
lithium,other
brolene,other
zuclopenthixol,other
phendimetrazine,other
desonide,human_cell
benzydamine,human_cell
isomannide,human_cell
tadenan,human_cell
lormetazepam,other
vinblastine,other
ferumoxytol,other
arsenic,other
fluoride,other
benzathine,bacteria
metaxalone,other
amiloride,other
pimozide,human_cell
betamethasone,human_cell
fluorescein,other
5-aza-2'-deoxycytidine,other
sonovue,other
clocortolone,human_cell
hydrocodone,other
gold,other
ogen,human_cell
molindone,other
fe(iii,other
lanthanum,human_cell
samarium,other
technetium-99m,other
chromium,other
copper,other
gadolinium,other
yttrium,human_cell
zinc,other
selenium,other
barium,other
tlcl,other
triphasil,human_cell
iodide,other
clodronate,other
prussian,other
hmdp,other
pizotifen,other
isosorbide-5-mononitrate,human_cell
desmopressin,other
conjugated,human_cell
dexrazoxane,human_cell
carbimazole,human_cell
paraldehyde,other
metipranolol,other
articaine,other
protirelin,human_cell
asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,other
oxcarbazepine,human_cell
etomidate,human_cell
gonadorelin,other
dobutamine,other
halofantrine,other
pentosan,other
carboplatin,human_cell
bezafibrate,human_cell
rimexolone,human_cell
stiripentol,other
vecuronium,other
nabilone,human_cell
permethrin,other
pirfenidone,other
pinaverium,other
desogestrel,human_cell
implanon,other
acitretin,human_cell
nitazoxanide,other
sufentanil,other
valrubicin,human_cell
acarbose,human_cell
torasemide,human_cell
desflurane,human_cell
westcort,human_cell
supremon,other
misoprostol,human_cell
lodoxamide,other
atracurium,other
cisatracurium,other
butoconazole,other
nicorandil,other
naftifine,other
goserelin,other
nedocromil,other
cefotetan,other
alfentanil,other
miglitol,human_cell
miglustat,human_cell
prednicarbate,human_cell
mebrofenin,other
iloprost,human_cell
octreotide,other
simvastatin,human_cell
cefpodoxime,bacteria
clarithromycin,bacteria
treprostinil,human_cell
loteprednol,other
atomoxetine,other
nsc,other
moexiprilat,other
gd-dtpa,other
milnacipran,other
fosphenytoin,other
ranolazine,human_cell
photofrin,other
imiquimod,human_cell
rotigotine,human_cell
pemirolast,other
levetiracetam,human_cell
esmolol,other
tamsulosin,other
adapalene,human_cell
adefovir,virus
perindopril,other
exemestane,human_cell
zileuton,human_cell
dexmedetomidine,other
cidofovir,virus
rocuronium,other
meropenem,bacteria
gadoteridol,other
bromfenac,other
mthpc,other
ibutilide,other
gadodiamide,other
saquinavir,human_cell
aripiprazole,human_cell
remifentanil,other
tiotropium,other
duloxetine,other
pemetrexed,human_cell
ibandronate,human_cell
ziprasidone,other
metaiodobenzylguanidine,other
olopatadine,other
levosimendan,human_cell
emtricitabine,human_cell
eprosartan,other
tiludronate,other
capecitabine,human_cell
monomethylfumarate,human_cell
doxycycline,human_cell
ammonium,other
colestipol,other
metrodin,human_cell
fosinoprilat,other
trovafloxacin,bacteria
benazeprilat,other
valganciclovir,other
fenofibric,human_cell
tenofovir,other
amd3100,other
glat,other
bendamustine,other
colestimide,human_cell
reboxetine,human_cell
sertaconazole,other
lercanidipine,other
telmisartan,human_cell
atosiban,human_cell
zoledronic,human_cell
brinzolamide,human_cell
malvidin,other
acamprosate,other
ropivacaine,other
nebivolol,other
mivacurium,other
dofetilide,human_cell
lanreotide,other
iloperidone,human_cell
hoe,other
tpgs,other
lutalyse,other
voriconazole,fungus
perindoprilat,other
darifenacin,other
terlipressin,human_cell
rifaximin,bacteria
bleomycin,other
gemifloxacin,other
doripenem,bacteria
telithromycin,bacteria
atovaquone,other
frovatriptan,other
eletriptan,other
paricalcitol,human_cell
mk-462,other
rosiglitazone,human_cell
vallergan,other
bexarotene,human_cell
agomelatine,human_cell
ge-132,other
strontium,other
bortezomib,other
nelarabine,human_cell
rasburicase,human_cell
dextran,other
ici,other
raltitrexed,human_cell
levodopa/carbidopa,human_cell
fotemustine,human_cell
rimonabant,human_cell
bosentan,human_cell
68ga,other
diane-35,other
fty720,other
quinaprilat,other
vardenafil,other
tadalafil,human_cell
eslicarbazepine,human_cell
paliperidone,human_cell
ntbc,other
clofarabine,human_cell
benzylpenicilloyl,other
valdecoxib,human_cell
parecoxib,human_cell
n-carbamylglutamate,other
ustekinumab,human_cell
retigabine,human_cell
fp-cit,other
rasagiline,other
su5416,other
travoprost,human_cell
almotriptan,other
eptifibatide,human_cell
fondaparinux,other
etoricoxib,human_cell
cancidas,fungus
gefitinib,human_cell
trisequens,other
madopar,other
desloratadine,human_cell
desvenlafaxine,human_cell
pregabalin,human_cell
bimatoprost,human_cell
trandolaprilat,other
rufinamide,human_cell
rosuvastatin,other
esomeprazole,other
olmesartan,human_cell
fosamprenavir,other
pitavastatin,other
abiraterone,human_cell
ivabradine,human_cell
febuxostat,human_cell
pixantrone,human_cell
pomalidomide,human_cell
sacrosidase,human_cell
nitric,human_cell
drospirenone,human_cell
posaconazole,fungus
pralatrexate,human_cell
ospemifene,human_cell
temsirolimus,human_cell
atazanavir,other
palonosetron,other
eplerenone,human_cell
ezetimibe,human_cell
ertapenem,bacteria
nepafenac,human_cell
aprepitant,human_cell
conivaptan,other
dutasteride,human_cell
entecavir,virus
clevidipine,human_cell
solifenacin,other
bazedoxifene,other
asenapine,other
cinacalcet,other
gadopentetate,other
vinflunine,human_cell
lubiprostone,human_cell
methyl,other
pegaptanib,human_cell
sevelamer,other
mndpdp,other
colesevelam,other
zidovudine/lamivudine,other
tipranavir,human_cell
anidulafungin,fungus
poly(styrene,other
varenicline,human_cell
kaluril,other
erlotinib,other
s-benzoylmercaptoacetyltriglycine,other
prednefrin,other
etravirine,human_cell
gadobenate,other
ambrisentan,human_cell
l-dmp,other
dronedarone,other
ramelteon,human_cell
lapatinib,other
nuvaring,human_cell
dabigatran,human_cell
darunavir,human_cell
lurasidone,other
luliconazole,fungus
aliskiren,other
sitaxsentan,human_cell
tolvaptan,human_cell
sorafenib,other
colimycin,bacteria
lenalidomide,human_cell
lasofoxifene,human_cell
regadenoson,human_cell
lacosamide,human_cell
gd-eob-dtpa,other
fosaprepitant,other
cortisone,other
18f-fdg,other
trimethoprim-sulfamethoxazole,bacteria
carboprost,other
natamycin,fungus
cefditoren,other
gadoversetamide,other
ciclesonide,human_cell
roflumilast,human_cell
hemin,other
fk463,fungus
maraviroc,human_cell
efinaconazole,fungus
nilotinib,other
silodosin,human_cell
tmc207,other
propylthiouracil,human_cell
6-mercaptopurine,other
methimazole,human_cell
6-thioguanine,human_cell
ethionamide,bacteria
rilpivirine,human_cell
d-telaprevir,other
fospropofol,other
prucalopride,human_cell
pimecrolimus,human_cell
dasatinib,human_cell
estrofem,other
fluticasone/salmeterol,human_cell
vandetanib,human_cell
telavancin,other
copolymer,other
axitinib,human_cell
sunitinib,human_cell
alx,human_cell
sitagliptin,other
2-hydroxysuccinaldehyde,other
doxercalciferol,human_cell
hydroxocobalamin,other
alclometasone,other
entacapone,human_cell
tolcapone,human_cell
warfarin,other
vildagliptin,human_cell
abacavir-lamivudine,human_cell
elvitegravir,human_cell
dacarbazine,human_cell
acipimox,other
halobetasol,other
polyoxyethylene,other
bosutinib,human_cell
pralidoxime,other
sulfasalazine,human_cell
paroven,other
rifabutin,bacteria
methylnaltrexone,other
balsalazide,other
verteporfin,human_cell
rifampicin,bacteria
olsalazine,other
ramiprilat,other
cgp,other
mersyndol,other
tegaserod,other
ofatumumab,human_cell
alvimopan,human_cell
deferasirox,other
gadobutrol,other
rifapentine,bacteria
radium,other
ac1o3ha7,other
eribulin,other
auranofin,other
cefdinir,bacteria
hexaminolevulinate,other
tapentadol,other
tafluprost,human_cell
indacaterol,other
rivaroxaban,human_cell
ivermectin,other
timentin,other
fidaxomicin,other
everolimus,human_cell
ixabepilone,human_cell
locorten,human_cell
sativex,other
delamanid,bacteria
iron,other
vilazodone,other
ceftobiprole,bacteria
prasugrel,other
retapamulin,bacteria
fesoterodine,other
sugammadex,other
belinostat,human_cell
pep005,other
tasimelteon,human_cell
olodaterol,other
ceftaroline,other
cabazitaxel,human_cell
dalteparin,human_cell
trans,other
tofacitinib,other
azilsartan,human_cell
lovaza,other
irbesartan-hydrochlorothiazide,human_cell
stalevo,human_cell
eltrombopag,other
lomitapide,other
mirabegron,human_cell
avanafil,human_cell
ticagrelor,human_cell
dapagliflozin,human_cell
depreotide,other
apremilast,human_cell
perampanel,human_cell
vernakalant,other
benicar-hct,other
som230,other
lu,other
vorapaxar,other
linagliptin,human_cell
18f-flutemetamol,other
pazopanib,other
afatinib,other
besifloxacin,other
apixaban,other
boceprevir,virus
lorcaserin,other
tafamidis,human_cell
ascorbate,other
alogliptin,other
regorafenib,human_cell
aclidinium,other
tr-700,other
saxagliptin,other
riociguat,human_cell
an2690,fungus
florbetaben,other
zyprexa,human_cell
umeclidinium,other
eliglustat,other
carfilzomib,human_cell
crizotinib,human_cell
lisdexamfetamine,other
gadofosveset,other
trametinib,human_cell
spinosad,human_cell
nitroprusside,other
empagliflozin,human_cell
vasopressin,other
ulipristal,human_cell
mdv3100,other
macitentan,human_cell
tmc435,other
pci-32765,human_cell
salmon,other
cosyntropin,human_cell
ly146032,bacteria
nuvocid,other
vitrum,other
insulin,human_cell
forteo,human_cell
ziconotide,human_cell
t-a2-3,other
revasc,human_cell
bivalirudin,human_cell
enfuvirtide,human_cell
bpti,other
org,other
abarelix,human_cell
hepatitis,virus
acth(1-39,other
glucagon,human_cell
ocrh,other
novolog,human_cell
humalog,human_cell
refludan,human_cell
symlin,other
liraglutide,human_cell
degarelix,other
lyxumia,human_cell
teduglutide,human_cell
exenatide,human_cell
linaclotide,other
o291,other
pentastarch,other
ivacaftor,human_cell
ruxolitinib,other
alcaftadine,human_cell
nesiritide,human_cell
raltegravir,other
pertechnetate,other
piroxicam,human_cell
azarga,human_cell
vismodegib,human_cell
canagliflozin,human_cell
florbetapir,other
ponatinib,other
hetastarch,other
cobicistat,human_cell
suvorexant,human_cell
triptorelin,other
cetrorelix,other
nafarelin,other
histrelin,other
sofosbuvir,virus
cabozantinib,other
tetracycline,bacteria
minocycline,other
acenocoumarol,human_cell
vemurafenib,human_cell
oxytetracycline,bacteria
lantus,human_cell
tesamorelin,other
ecallantide,human_cell
dabrafenib,other
mipomersen,other
promacta,other
dalbavancin,other
signifor,other
dolutegravir,other
tenoxicam,other
demeclocycline,other
heparin,human_cell
hydroxypropyl,human_cell
a77,other
tigecycline,other
lymecycline,other
n-3,other
x,other
colestyramine,human_cell
k779,other
