drug_name,disease_name
doxepin,unknown_disease
droperidol,unknown_disease
l-threo-dops,unknown_disease
dyphylline,unknown_disease
econazole,unknown_disease
trabectedin,unknown_disease
edrophonium,unknown_disease
efavirenz,unknown_disease
eicosapentaenoic,unknown_disease
emedastine,unknown_disease
cas,unknown_disease
enflurane,unknown_disease
epinastine,unknown_disease
vitamin,unknown_disease
ergonovine,unknown_disease
